mode_index,alpha,Mach,accepted,gep_cr,gep_ci,gep_omega_i,distance_to_shooting,selection_source,N
173,0.24,1.75,False,0.5369640341776344,0.008869692446194427,0.0021287261870866626,0.06221368235027291,target_then_overlap,561
174,0.25,1.75,False,0.5074190752152916,0.008789295467881854,0.0021973238669704635,0.032233488172446305,target_then_overlap,561
175,0.26,1.75,True,0.4876489534992871,0.008736112312941411,0.002271389201364767,0.018043073172915022,target_then_overlap,561
176,0.27,1.75,True,0.4777854303581047,0.008846286798893916,0.0023884974357013576,0.0191353276983193,target_then_overlap,561
177,0.28,1.75,False,0.46789294084545063,0.009008674947497913,0.002522428985299416,0.026492959598702626,target_then_overlap,561
178,0.29,1.75,False,0.5690479256229464,0.01118068259935343,0.0032423979538124944,0.1937488689119993,target_then_overlap,561
179,0.3,1.75,False,0.6366215439986268,0.013069177295061605,0.003920753188518481,0.12758806148203608,target_then_overlap,561
180,0.01,1.775,True,0.7575892645442491,0.004240428919584059,4.240428919584059e-05,0.008959248785097818,nearest_to_target,561
181,0.02,1.775,True,0.7485589466473797,0.004553491885777437,9.106983771554875e-05,0.015341735392360625,target_then_overlap,561
182,0.03,1.775,False,0.7394704187354648,0.004986183737097725,0.00014958551211293174,0.0245599108059625,target_then_overlap,561
183,0.04,1.775,False,0.739530349121285,0.005389078885446489,0.00021556315541785957,0.02484204718962972,target_then_overlap,561
184,0.05,1.775,False,0.7396439751464018,0.005993810362034605,0.00029969051810173027,0.02531348402392549,target_then_overlap,561
185,0.06,1.775,False,0.7399123951045772,0.006930080986860131,0.0004158048592116078,0.025631226653504747,target_then_overlap,561
186,0.07,1.775,False,0.7409504898173882,0.008369721339316554,0.0005858804937521588,0.026845966139291053,target_then_overlap,561
187,0.08,1.775,False,0.7337272344509712,0.008235669171764248,0.0006588535337411399,0.03226853530618725,target_then_overlap,561
188,0.09,1.775,False,0.734217264886673,0.007908580403174948,0.0007117722362857454,0.03151533763897163,target_then_overlap,561
189,0.1,1.775,False,0.7343507577017424,0.008369999793525311,0.0008369999793525311,0.03187326427960613,target_then_overlap,561
190,0.11,1.775,False,0.7330512345471956,0.011463885032701002,0.0012610273535971102,0.03651058541194751,target_then_overlap,561
191,0.12,1.775,False,0.7392905982750813,0.007870613147728966,0.0009444735777274759,0.02719738464366782,target_then_overlap,561
192,0.13,1.775,False,0.7392581040104198,0.00678763545438277,0.0008823926090697602,0.02605972755892214,target_then_overlap,561
193,0.14,1.775,False,0.7392644884973943,0.006208633346037228,0.000869208668445212,0.02544763347497931,target_then_overlap,561
194,0.15,1.775,False,0.7392798290188705,0.0058749895405040145,0.0008812484310756021,0.02513161701353192,target_then_overlap,561
195,0.16,1.775,False,0.7392991653678873,0.005704540766414069,0.000912726522626251,0.024957064280594337,target_then_overlap,561
196,0.17,1.775,False,0.739321352733312,0.005663466257795842,0.0009627892638252931,0.02489990144241728,target_then_overlap,561
197,0.18,1.775,False,0.7393463256680556,0.005739037759872526,0.0010330267967770545,0.02494673924661863,target_then_overlap,561
198,0.19,1.775,False,0.6443412905048594,0.00718138227319309,0.001364462631906687,0.17247230027854543,target_then_overlap,561
199,0.2,1.775,False,0.6830406263879931,0.006911887869449314,0.0013823775738898629,0.07966334738439523,target_then_overlap,561
200,0.21,1.775,False,0.6152270579735406,0.007954275405619672,0.0016703978351801311,0.13794936235837682,target_then_overlap,561
201,0.22,1.775,False,0.5662922415155534,0.008569896857068647,0.0018853773085551024,0.0869502560505225,target_then_overlap,561
