alpha,Mach,rank_cr,candidate_cr,candidate_ci,y,p_real,p_imag,p_abs,rho_real,rho_imag,rho_abs
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.492643226506363,0.2845711924068625,-0.0027283657947688215,0.28458427139912995,0.4626060446564059,-0.004435299645121024,0.4626273061932107
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.4718382868463014,0.2819194611343002,-0.0027478353104492207,0.28193285222752523,0.45829532400644674,-0.00446694977654898,0.45831709290237066
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.45131412261775,0.27934287338378777,-0.0027662378609463753,0.2793565696063263,0.4541067585445199,-0.004496865422700981,0.4541290234662841
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.4310649250256944,0.276753928762889,-0.002785169601300643,0.2767679429691998,0.44989810544517156,-0.004527641333114331,0.44992088728930557
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.4110850437270344,0.2742391961672322,-0.0028030449125452032,0.27425352098967004,0.44581009326935683,-0.004556699885956273,0.4458333800588324
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.3913689814608996,0.2717114452921973,-0.0028214567092285565,0.271726093926838,0.44170091825312824,-0.004586630562939667,0.441724731439816
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.3719113888958203,0.2692569922733678,-0.0028388223844699996,0.269271956951761,0.4377108980643935,-0.0046148606387540515,0.4377352250197064
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.352707059683641,0.26678887765838594,-0.002856731491057049,0.2668041719258401,0.43369866924341366,-0.00464397413014961,0.4337235319869438
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.3337509257105307,0.2643931647893778,-0.0028736045510065022,0.26440878047156197,0.4298041385107322,-0.004671403398229926,0.4298295237540828
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.3150380525359995,0.2619831653864556,-0.002891027648318038,0.2619991163854762,0.4258863832313568,-0.004699726820796999,0.4259123135741396
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.296563635011306,0.2596446901890365,-0.002907424538488391,0.2596609679193385,0.4220848994885523,-0.004726382015380156,0.4221113609738745
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.278322993069062,0.25729132201838634,-0.0029243777426586344,0.2573079407463958,0.4182592053561392,-0.004753941567909439,0.4182862211758596
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.2603115676762795,0.2550086194099977,-0.00294031434311083,0.2550255701333287,0.4145483869283775,-0.004779848504019506,0.41457594244799245
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.2425249169435215,0.2527104358698097,-0.0029568132158065705,0.25272773322669273,0.4108124023108593,-0.004806669483945542,0.4108405213266423
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.224958712383163,0.25048207832050495,-0.0029723048527329297,0.25049971288585776,0.4071899285697708,-0.004831853076223987,0.40721859576007247
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.2076087353101372,0.24823767023252682,-0.0029883644130554504,0.24825565702383892,0.4035413626717514,-0.004857959898973267,0.40357060244937815
0.2,1.275,6,0.2156423422834952,0.003252220785920266,-2.1904708733788905,0.24606226768408757,-0.0030034258718040848,0.2460805968474617,0.40000497390394485,-0.0048824441828514975,0.4000347702501549
