benchmark_id,atlas_chart,Mach,alpha,shoot_stage1_mismatch,shoot_stage2_mismatch,stage1_fraction_of_nominal,stage2_fraction_of_nominal,critical_common_multiplier
37,C02,1.09,0.32125,2.449952911219438e-06,3.392055646978618e-20,4.899905822438876e-05,3.392055646978618e-18,4.899905822438876e-05
38,C02,1.09,0.33675,1.962267652500698e-06,3.742278670199739e-20,3.9245353050013955e-05,3.742278670199739e-18,3.9245353050013955e-05
39,C02,1.09,0.3522499999999999,0.0005308351780557,6.09347506087978e-20,0.010616703561113999,6.09347506087978e-18,0.010616703561113999
40,C02,1.126,0.21275,1.2042916030425033e-06,5.149296539460305e-21,2.4085832060850064e-05,5.149296539460305e-19,2.4085832060850064e-05
41,C02,1.126,0.2282499999999999,1.0065708914871638e-06,8.037930453522057e-21,2.0131417829743275e-05,8.037930453522057e-19,2.0131417829743275e-05
42,C02,1.126,0.24375,1.2946905972220568e-06,1.1336416362413031e-20,2.5893811944441136e-05,1.1336416362413031e-18,2.5893811944441136e-05
43,C02,1.126,0.25925,1.2699129633617051e-06,1.464521553408134e-20,2.5398259267234102e-05,1.464521553408134e-18,2.5398259267234102e-05
44,C02,1.126,0.27475,1.6924518807634209e-06,1.7778017568044802e-20,3.384903761526842e-05,1.77780175680448e-18,3.384903761526842e-05
45,C02,1.126,0.29025,2.311216849858262e-06,2.1194180727846352e-20,4.622433699716524e-05,2.1194180727846352e-18,4.622433699716524e-05
46,C02,1.126,0.3057499999999999,3.549945980273289e-06,2.466928340930044e-20,7.099891960546578e-05,2.466928340930044e-18,7.099891960546578e-05
47,C02,1.126,0.32125,2.323436265717182e-06,2.758538196148387e-20,4.6468725314343643e-05,2.758538196148387e-18,4.6468725314343643e-05
48,C02,1.126,0.33675,3.292531944718887e-07,2.821887194275743e-20,6.585063889437773e-06,2.821887194275743e-18,6.585063889437773e-06
49,C02,1.126,0.3522499999999999,0.000807673877401,6.435296182900301e-20,0.01615347754802,6.435296182900301e-18,0.01615347754802
0,C02,1.162,0.21275,4.450152793001965e-07,2.7217368742055738e-21,8.90030558600393e-06,2.721736874205574e-19,8.90030558600393e-06
1,C02,1.162,0.2282499999999999,2.390987352794952e-06,4.805584834577623e-21,4.781974705589904e-05,4.805584834577623e-19,4.781974705589904e-05
2,C02,1.162,0.24375,3.0202094281473653e-06,7.246079699994803e-21,6.0404188562947306e-05,7.246079699994803e-19,6.0404188562947306e-05
3,C02,1.162,0.25925,1.801009253840688e-06,9.873042403598184e-21,3.6020185076813756e-05,9.873042403598183e-19,3.6020185076813756e-05
4,C02,1.162,0.27475,2.018817239875013e-06,1.2932574258276221e-20,4.037634479750026e-05,1.293257425827622e-18,4.037634479750026e-05
5,C02,1.162,0.29025,2.312093346905135e-06,1.5932814361752094e-20,4.624186693810269e-05,1.5932814361752094e-18,4.624186693810269e-05
6,C02,1.162,0.3057499999999999,4.631607121661632e-06,1.7972049900736252e-20,9.263214243323264e-05,1.797204990073625e-18,9.263214243323264e-05
7,C02,1.162,0.32125,1.2094458657051755e-06,2.1319271438939335e-20,2.4188917314103508e-05,2.1319271438939334e-18,2.4188917314103508e-05
8,C02,1.162,0.33675,0.0003161899208795,9.273457271888268e-20,0.00632379841759,9.273457271888268e-18,0.00632379841759
9,C02,1.162,0.3522499999999999,0.0022059127876952,7.058298959736294e-20,0.044118255753904,7.058298959736294e-18,0.044118255753904
10,C02,1.198,0.21275,1.4258293342413814e-06,1.1443971578121092e-21,2.8516586684827628e-05,1.1443971578121092e-19,2.8516586684827628e-05
11,C02,1.198,0.2282499999999999,7.597975920441379e-07,2.580530336719793e-21,1.5195951840882757e-05,2.580530336719793e-19,1.5195951840882757e-05
12,C02,1.198,0.24375,1.4691949343651228e-06,4.5525644489191035e-21,2.9383898687302455e-05,4.552564448919104e-19,2.9383898687302455e-05
13,C02,1.198,0.25925,2.0736324338004387e-06,6.4305908643378145e-21,4.1472648676008774e-05,6.430590864337814e-19,4.1472648676008774e-05
14,C02,1.198,0.27475,4.024172423997852e-06,9.0967796827642e-21,8.048344847995704e-05,9.0967796827642e-19,8.048344847995704e-05
15,C02,1.198,0.29025,2.5729739987871885e-06,1.1417035424741091e-20,5.1459479975743764e-05,1.1417035424741091e-18,5.1459479975743764e-05
