condition,benchmark_id,atlas_chart,Mach,alpha,candidate_index,center_kind,center_index,cr_center,ci_center,requested_cr_half_window,requested_ci_half_window,status,error,retry_index,used_cr_half_window,used_ci_half_window,shoot_cr,shoot_ci,stage1_mismatch,stage2_mismatch,total_mismatch,spectral_success,mode_success,technical_success,delta_center,seconds,t401_row,test_id
generic,387,C31,1.9,0.18,1,generic,4,0.5,0.002,0.015,0.015,COMPLETED,,0,0.015,0.015,0.5036816406249999,0.009094628906249999,2.8272797564402376e-06,9.401025451220084e-21,2.827279756440247e-06,True,True,True,0.007993011760847565,35.9430972719565,387,387
generic,387,C31,1.9,0.18,2,generic,5,0.9,0.002,0.015,0.03,COMPLETED,,2,0.0459375,0.091875,0.8085736083984376,1e-06,0.0019513228547832283,4.112647838209403e-09,0.0019513269674310664,True,True,True,0.09144824264184764,144.37550490291324,387,387
generic,387,C31,1.9,0.18,3,generic,0,0.1,0.0001,0.03,0.008,COMPLETED,,3,0.16078125,0.042875,0.39091720581054673,0.0033639398600260424,0.03849990160498791,3.273722585113627e-23,0.03849990160498791,True,True,True,0.29093551508886956,167.2986494799843,387,387
generic,387,C31,1.9,0.18,4,generic,1,0.5,0.0001,0.03,0.015,COMPLETED,,0,0.03,0.015,0.5036914062499999,0.009099023437500001,8.836854336248471e-07,9.398614335728599e-21,8.836854336248565e-07,True,True,True,0.009726710797140645,35.91013541002758,387,387
generic,387,C31,1.9,0.18,5,generic,2,0.9,0.0001,0.03,0.03,COMPLETED,,0,0.03,0.03,0.8400585937499998,8.860782877604164e-05,0.041450972203748895,1.6267995409687153e-19,0.041450972203748895,True,True,True,0.059941407332570446,48.48702015099116,387,387
generic,387,C31,1.9,0.18,6,generic,3,0.1,0.002,0.06,0.008,COMPLETED,,2,0.18375,0.0245,0.4253479003906249,0.005570416015625001,0.029895980578750526,1.807029673308704e-22,0.029895980578750526,True,True,True,0.32536749093772815,122.74929984391201,387,387
generic,387,C31,1.9,0.18,7,generic,4,0.5,0.002,0.06,0.015,COMPLETED,,0,0.06,0.015,0.5037109374999998,0.009094628906249999,6.607773473362732e-06,9.398097708355187e-21,6.607773473362741e-06,True,True,True,0.008006548347840233,38.021203012089245,387,387
generic,387,C31,1.9,0.18,8,generic,5,0.9,0.002,0.06,0.03,COMPLETED,,0,0.06,0.03,0.7801171875000003,8.60490511670525e-06,0.001111740327826633,1.1718248461982328e-14,0.0011117403278383513,True,True,True,0.11989935107136329,49.311724152066745,387,387
generic,387,C31,1.9,0.18,9,generic,0,0.1,0.0001,0.1,0.008,COMPLETED,,1,0.17500000000000002,0.014,0.4122314453124998,0.002993137369791667,0.03336911629449396,3.509555392628707e-23,0.03336911629449396,True,True,True,0.31224484893393045,85.668609232991,387,387
generic,387,C31,1.9,0.18,10,generic,1,0.5,0.0001,0.1,0.015,COMPLETED,,0,0.1,0.015,0.5037109374999998,0.009099023437500001,6.630952550150891e-06,9.397581095181271e-21,6.6309525501509e-06,True,True,True,0.009734139918738555,40.20256447896827,387,387
