normal_axis,chart_minus_grid,chart_plus_grid,Mach_minus_grid,Mach_plus_grid,alpha_minus_grid,alpha_plus_grid,Mach_mid,alpha_mid,pair_id
Mach,C22,C32,1.648,1.6509999999999998,0.3445,0.3445,1.6494999999999997,0.3445,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.34553333333333336,0.34553333333333336,1.6494999999999997,0.34553333333333336,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.3465666666666667,0.3465666666666667,1.6494999999999997,0.3465666666666667,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.3476,0.3476,1.6494999999999997,0.3476,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.34863333333333335,0.34863333333333335,1.6494999999999997,0.34863333333333335,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.3496666666666667,0.3496666666666667,1.6494999999999997,0.3496666666666667,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.3507,0.3507,1.6494999999999997,0.3507,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.35173333333333334,0.35173333333333334,1.6494999999999997,0.35173333333333334,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.3527666666666667,0.3527666666666667,1.6494999999999997,0.3527666666666667,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.3538,0.3538,1.6494999999999997,0.3538,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.35483333333333333,0.35483333333333333,1.6494999999999997,0.35483333333333333,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.35586666666666666,0.35586666666666666,1.6494999999999997,0.35586666666666666,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.3569,0.3569,1.6494999999999997,0.3569,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.3579333333333333,0.3579333333333333,1.6494999999999997,0.3579333333333333,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.35896666666666666,0.35896666666666666,1.6494999999999997,0.35896666666666666,C22--C32
Mach,C22,C32,1.648,1.6509999999999998,0.36,0.36,1.6494999999999997,0.36,C22--C32
alpha,C00,C01,1.0,1.0,0.12956666666666666,0.1306,1.0,0.13008333333333333,C00--C01
alpha,C01,C02,1.0,1.0,0.2194666666666667,0.22050000000000003,1.0,0.21998333333333336,C01--C02
alpha,C00,C01,1.003,1.003,0.12956666666666666,0.1306,1.003,0.13008333333333333,C00--C01
alpha,C01,C02,1.003,1.003,0.2194666666666667,0.22050000000000003,1.003,0.21998333333333336,C01--C02
alpha,C00,C01,1.006,1.006,0.12956666666666666,0.1306,1.006,0.13008333333333333,C00--C01
alpha,C01,C02,1.006,1.006,0.2194666666666667,0.22050000000000003,1.006,0.21998333333333336,C01--C02
alpha,C00,C01,1.009,1.009,0.12956666666666666,0.1306,1.009,0.13008333333333333,C00--C01
alpha,C01,C02,1.009,1.009,0.2194666666666667,0.22050000000000003,1.009,0.21998333333333336,C01--C02
alpha,C00,C01,1.012,1.012,0.12956666666666666,0.1306,1.012,0.13008333333333333,C00--C01
alpha,C01,C02,1.012,1.012,0.2194666666666667,0.22050000000000003,1.012,0.21998333333333336,C01--C02
alpha,C00,C01,1.015,1.015,0.12956666666666666,0.1306,1.015,0.13008333333333333,C00--C01
alpha,C01,C02,1.015,1.015,0.2194666666666667,0.22050000000000003,1.015,0.21998333333333336,C01--C02
alpha,C00,C01,1.018,1.018,0.12956666666666666,0.1306,1.018,0.13008333333333333,C00--C01
alpha,C01,C02,1.018,1.018,0.2194666666666667,0.22050000000000003,1.018,0.21998333333333336,C01--C02
alpha,C00,C01,1.021,1.021,0.12956666666666666,0.1306,1.021,0.13008333333333333,C00--C01
alpha,C01,C02,1.021,1.021,0.2194666666666667,0.22050000000000003,1.021,0.21998333333333336,C01--C02
alpha,C00,C01,1.024,1.024,0.12956666666666666,0.1306,1.024,0.13008333333333333,C00--C01
alpha,C01,C02,1.024,1.024,0.2194666666666667,0.22050000000000003,1.024,0.21998333333333336,C01--C02
alpha,C00,C01,1.027,1.027,0.12956666666666666,0.1306,1.027,0.13008333333333333,C00--C01
