Mach,alpha,n_rows,y_min,y_max,p_left_tail_samples_per_period,p_right_tail_samples_per_period,p_left_tail_n,p_right_tail_n,rho_left_tail_samples_per_period,rho_right_tail_samples_per_period,rho_left_tail_n,rho_right_tail_n,u_left_tail_samples_per_period,u_right_tail_samples_per_period,u_left_tail_n,u_right_tail_n,v_left_tail_samples_per_period,v_right_tail_samples_per_period,v_left_tail_n,v_right_tail_n,worst_tail_samples_per_period,tail_resolution_flag
1.8,0.1225,4418,-1718.23978394101,1718.23978394101,,53.07994812092852,0,14,,53.079948120929714,0,14,4.415661517854475,133.72567605466585,9,31,,90.18672107338384,0,21,4.415661517854475,needs_attention
1.8,0.07,4418,-1999.9999999999343,1999.9999999999343,,,0,0,,,0,0,4.4424197479828935,35.5733192780834,12,19,,14.875803774305806,0,9,4.4424197479828935,needs_attention
1.8,0.1125,4418,-1773.0312957674755,1773.0312957674755,,39.59198285759715,0,12,,39.59198285759405,0,12,4.55067907708166,104.45942256307036,10,29,,66.93438753151251,0,19,4.55067907708166,needs_attention
1.8,0.085,4418,-1999.9999999999343,1999.9999999999343,,,0,0,,,0,0,4.570954681510192,54.772279623192034,12,22,,27.105232766533366,0,13,4.570954681510192,needs_attention
1.9,0.085,4418,-1999.9999999999343,1999.9999999999343,,,0,0,,,0,0,4.6031191100432824,56.265577486999696,10,22,,28.577919060507224,0,12,4.6031191100432824,needs_attention
1.8,0.0925,4418,-1999.9999999999343,1999.9999999999343,,21.0772046612857,0,9,,21.07720466128475,0,9,4.612635071568948,67.58347602426345,10,24,,34.837227341674115,0,14,4.612635071568948,needs_attention
1.9,0.0825,4418,-1999.9999999999343,1999.9999999999343,,,0,0,,,0,0,4.760693743135964,52.02549457067247,11,20,,25.519572118241722,0,12,4.760693743135964,needs_attention
1.8,0.135,4418,-1700.0084385798978,1700.0084385798978,,75.91093916901447,0,16,,75.91093916906416,0,16,4.79686802636165,184.13978889670557,9,34,,127.46567755628767,0,25,4.79686802636165,needs_attention
1.8,0.09,4418,-1999.9999999999343,1999.9999999999343,,19.893880657439535,0,8,,19.89388065743941,0,8,4.800775353339578,63.11088843716249,11,24,,33.194037120451995,0,13,4.800775353339578,needs_attention
1.8,0.105,4418,-1840.313778551412,1840.313778551412,,31.993399038201797,0,10,,31.993399038204256,0,10,4.811090469583152,91.4548763707105,10,27,,52.49152103646414,0,17,4.811090469583152,needs_attention
1.9,0.1175,4418,-1999.9999999999343,1999.9999999999343,,48.79295516979084,0,12,,48.79295516978562,0,12,4.924433318543296,125.39522715746841,9,29,,86.93016013904982,0,21,4.924433318543296,needs_attention
1.8,0.1425,4418,-1715.2922627299124,1715.2922627299124,,93.72159884958326,0,17,,93.72159884961586,0,17,4.926206560199232,219.31842557979766,8,36,,155.68056944043627,0,27,4.926206560199232,needs_attention
1.9,0.12,4418,-1999.9999999999343,1999.9999999999343,,53.78436521854703,0,12,,53.7843652185595,0,12,5.087772457681694,137.53773104477446,9,30,,93.77842416939367,0,21,5.087772457681694,needs_attention
1.8,0.12,4418,-1728.3407785558502,1728.3407785558502,,50.401259701880974,0,13,,50.401259701873165,0,13,5.115329183254204,125.82463851916614,9,31,,83.87903478802822,0,21,5.115329183254204,needs_attention
1.8,0.1325,4418,-1699.2550477116722,1699.2550477116722,,72.25964257042574,0,15,,72.2596425704346,0,15,5.1171186851882045,169.66230890763387,9,33,,115.9155385249474,0,24,5.1171186851882045,needs_attention
1.8,0.16,4418,-1839.400027596176,1839.400027596176,,157.49989207535782,0,20,,157.49989207524035,0,20,5.154502416783821,332.4633767803957,8,40,,252.59814159061432,0,32,5.154502416783821,needs_attention
1.8,0.13,4418,-1700.6080733008014,1700.6080733008014,,66.39937891338644,0,15,,66.39937891337958,0,15,5.222604747536657,159.92528226387262,9,33,,111.25043785398803,0,23,5.222604747536657,needs_attention
1.9,0.0875,4418,-1999.9999999999343,1999.9999999999343,,,0,0,,,0,0,5.265744237451337,60.689080810656726,10,22,,31.813019624083438,0,12,5.265744237451337,needs_attention
1.9,0.0975,4418,-1999.9999999999343,1999.9999999999343,,26.601335761978877,0,9,,26.601335761982615,0,9,5.266898475362717,75.4522769587306,10,24,,44.76395022789659,0,15,5.266898475362717,needs_attention
1.9,0.115,4418,-1999.9999999999343,1999.9999999999343,,44.140940419722256,0,12,,44.140940419719634,0,12,5.298699911612666,120.93719240806342,9,28,,77.80333948876003,0,20,5.298699911612666,needs_attention
1.9,0.1125,4418,-1999.9999999999343,1999.9999999999343,,41.7089070712338,0,11,,41.708907071223905,0,11,6.107500744454645,113.33256670276914,10,28,,74.44551867546757,0,19,6.107500744454645,needs_attention
1.9,0.1,4418,-1999.9999999999343,1999.9999999999343,,28.30400517064564,0,10,,28.304005170647173,0,10,6.481394628865235,83.65224833469533,10,25,,51.24586820837575,0,16,6.481394628865235,needs_attention
1.9,0.14,4418,-1999.9999999999343,1999.9999999999343,,98.74904117611653,0,17,,98.74904117612826,0,17,6.580294879001877,228.01541701991053,8,34,,167.28100008104025,0,27,6.580294879001877,needs_attention
1.8,0.14,4418,-1707.7487573689552,1707.7487573689552,,89.3867669982759,0,16,,89.3867669982087,0,16,7.140927735513298,202.39944974767755,8,35,,145.68517374451255,0,27,7.140927735513298,needs_attention
1.9,0.1025,4418,-1999.9999999999343,1999.9999999999343,,31.733842137721695,0,10,,31.733842137720554,0,10,7.546280403781241,86.75511700331094,10,26,,53.51928188170139,0,17,7.546280403781241,needs_attention
