model,final_reference_id,alpha,role,is_spectral_anchor,is_S4M2_modal_anchor,n_domain,n_amplitude_mask,cr_reference,cr_prediction,cr_abs_error,ci_reference,ci_prediction,ci_abs_error,kappa_nrmse,q_nrmse,kappa_max_abs,q_max_abs,log_amp_rmse,amplitude_rel_l2,phase_rmse,pressure_rel_l2,pressure_overlap_error
S4,M1.900000_a0.10000000,0.1,off_anchor,False,False,3225,3225,0.4790142335247862,0.4796070456504822,0.0005928121256959518,0.0219970508320953,0.017142347991466522,0.004854702840628777,1.1485694142951215,0.2108433700367251,0.050158188577105876,0.08548210411727303,0.3971305426431473,0.35830153144308124,0.9426303861357554,0.8424431007456626,0.2244706889624899
S4,M1.900000_a0.10500000,0.105,off_anchor,False,False,3228,3228,0.4808778398375454,0.48135802149772644,0.0004801816601810449,0.0216028148034642,0.018085381016135216,0.0035174337873289836,1.1257121136765293,0.20938244814419432,0.051112242621761395,0.09049782626309835,0.42906815820213257,0.37996833877178776,0.9814858503178713,0.8603657839109672,0.24201601322937238
S4,M1.900000_a0.11000000,0.11,off_anchor,False,False,3230,3230,0.482691544513499,0.4829683303833008,0.00027678586980178776,0.021133384910942,0.019264189526438713,0.0018691953845032874,1.1043287426192072,0.20860529861728808,0.051384679859149573,0.09535637656600614,0.46141987618949143,0.40030262124967675,1.0223899959581113,0.8770374381964146,0.25838671891434783
S4,M1.900000_a0.11500000,0.115,S4M2_modal_anchor,True,True,3232,3232,0.4844567807943823,0.48445168137550354,5.09941887877341e-06,0.0205943065902101,0.020596619695425034,2.3131052149343023e-06,1.084066274778186,0.20824584059783527,0.05086892523899762,0.09992946857985675,0.49397072379421914,0.4189742702383179,1.0651104044996413,0.8917875723994094,0.27270032526331
S4,M1.900000_a0.12000000,0.12,off_anchor,False,False,3234,3234,0.4861750606068702,0.485830694437027,0.0003443661698432354,0.0199906682279446,0.021957768127322197,0.0019670998993775966,1.0653023673512347,0.20794729412043658,0.04955585950795022,0.10399810813305066,0.5265598950467788,0.43572404525481273,1.108503405041897,0.9034291442085765,0.28372397012643946
S4,M1.900000_a0.12500000,0.125,off_anchor,False,False,3237,3237,0.487847941407231,0.4871372878551483,0.0007106535520826629,0.0193271425190721,0.023173045367002487,0.0038459028479303874,1.0489477154611364,0.20716956124399177,0.047608735399598014,0.10721906670368389,0.5609749678370262,0.4509705714253482,1.1508055213616195,0.9106374967928066,0.29014722396543646
S4,M1.900000_a0.13000000,0.13,off_anchor,False,False,3239,3239,0.4894770013114648,0.4884110987186432,0.0010659025928216326,0.0186080268219635,0.024027589708566666,0.005419562886603165,1.037065519800468,0.2052158487257383,0.04644190337485743,0.10912700773836792,0.5937101866267784,0.46389231951042714,1.3258665904450118,0.9110572711475075,0.29037340030648706
S4,M1.900000_a0.13500000,0.135,off_anchor,False,False,3242,3242,0.4910638186460426,0.48969632387161255,0.0013674947744300447,0.0178372766850934,0.02429804392158985,0.00646076723649645,1.0306167057343738,0.20134979087727436,0.049425515596257956,0.109200835875946,0.628927363918132,0.47597280784195595,1.348193628759609,0.9042149767180032,0.28401665644724516
S4,M1.900000_a0.14000000,0.14,off_anchor,False,False,3244,3244,0.4926099567084842,0.4910389184951782,0.001571038213305953,0.0170185388552902,0.023805199190974236,0.006786660335684036,1.0303044839192415,0.19497092046142375,0.05583038521115793,0.10881485879160585,0.6629535896934075,0.486880788778189,1.355009114332137,0.8894144566207569,0.27110423848744203
S4,M1.900000_a0.14500000,0.145,off_anchor,False,False,3247,3247,0.4941169522172745,0.49248355627059937,0.0016333959466751091,0.0161551782261101,0.02247498370707035,0.006319805480960252,1.034356175522358,0.1857981119471053,0.061944954810557465,0.10854274437527624,0.7007106849738329,0.4982762790162871,1.3437377513473276,0.8683093599751042,0.2531444658996719
S4,M1.900000_a0.15000000,0.15,off_anchor,False,False,3250,3250,0.4955863065386898,0.4940696358680725,0.0015166706706172817,0.0152503044485099,0.020385323092341423,0.005135018643831523,1.0405590336328612,0.173959833666579,0.06744067584900325,0.10529352148539237,0.7405084631883674,0.5100971332232452,1.312248054887201,0.8421764774442533,0.23184343351411874
