alpha,Mach,blumen_cr,blumen_ci,blumen_cr_available,blumen_ci_available,blumen_target_available,seed_name,seed_cr_center,seed_ci_center,requested_cr_half_window,requested_ci_half_window,used_cr_half_window,used_ci_half_window,retry_index,shooting_cr,shooting_ci,shooting_omega_i,err_cr_abs,err_ci_abs,err_ci_rel,stage1_mismatch,stage2_mismatch,ln_p_start_right,spectral_success,mode_success,success,status,selection_metric,selection_metric_name,y_limit
0.175,1.8,,,False,False,False,generic_03,0.18,0.055,0.06,0.06,0.06,0.06,0,0.29980468749999994,1.9099561149691358e-05,3.3424232011959875e-06,,,,0.04820449282941426,3.746736591411612e-21,-5.036728063076163,True,True,True,validated,-0.06760887491967899,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_01,0.05,0.025,0.15,0.03,0.15,0.03,0,0.29941406250000013,1.9750000000000006e-05,3.4562500000000006e-06,,,,0.04839619305358556,2.5228469278713016e-20,-5.0368617319827464,True,True,True,validated,-0.06759994034732072,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_03,0.18,0.055,0.06,0.03,0.06,0.03,0,0.2993359374999999,1.9834997106481492e-05,3.4711244936342607e-06,,,,0.048439242328379636,1.6598156394365934e-20,-5.036883063753205,True,True,True,validated,-0.0675978728806875,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_01,0.05,0.025,0.15,0.06,0.15,0.06,0,0.2998046875000002,1.4390058352623458e-05,2.518260211709105e-06,,,,0.048361863875558575,7.888451280817935e-21,-5.036068447512696,True,True,True,validated,-0.06759629686457469,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_00,0.0,0.015,0.03,0.008,0.16078125,0.042875,3,0.24070083618164068,1.0131882906941226e-05,1.7730795087147143e-06,,,,0.04884266791788676,3.130988932822196e-27,-5.030201355298104,True,True,True,validated,-0.0675679984870126,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_00,0.0,0.015,0.1,0.008,0.1,0.008,0,0.14833984375000003,7.025149498456787e-06,1.2294011622299377e-06,,,,0.04921579344494434,2.6537280851634837e-27,-5.027661508039276,True,True,True,validated,-0.06754623547725125,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_05,0.34,0.085,0.15,0.008,0.80390625,0.042875,3,0.49048828125000005,0.06901562499999998,0.012077734374999996,,,,0.014325934693190033,0.6370151744085819,-29.99999281439142,True,False,False,spectral_only,-0.0876623130909319,max_ci_fallback,426.9215464173363
0.175,1.8,,,False,False,False,generic_05,0.34,0.085,0.1,0.008,0.5359375000000001,0.042875,3,0.4905859375,0.06901562499999998,0.012077734374999996,,,,0.0143259235175876,0.6678973480052025,-29.99999281439142,True,False,False,spectral_only,-0.0876314314761154,max_ci_fallback,426.9260331258487
0.175,1.8,,,False,False,False,generic_01,0.05,0.025,0.15,0.008,0.80390625,0.042875,3,0.2998046875000002,0.009015625000000001,0.0015777343750000001,,,,0.05001458719815352,7.003731410237602e-20,-6.856187917847801,False,True,False,mode_only,-0.05651489564009233,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_00,0.0,0.015,0.06,0.03,0.32156250000000003,0.16078125000000001,3,0.08931640624999998,8.110721289866256e-06,1.4193762257265948e-06,,,,0.05186628675261843,3.9766478232191205e-27,-5.024658417398124,False,True,False,mode_only,-0.04741479638365895,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_00,0.0,0.015,0.06,0.06,0.32156250000000003,0.32156250000000003,3,0.275445556640625,3.2246923124839254e-05,5.643211546846869e-06,,,,0.054083670062462556,4.543838814073028e-26,-5.038487618049789,False,True,False,mode_only,-0.04732806342000172,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_02,0.1,0.04,0.015,0.008,0.08039062500000001,0.042875,3,0.19154602050781244,8.063500675154321e-06,1.4111126181520062e-06,,,,0.05424728963377396,1.2210554301960803e-19,-5.031766070313699,False,True,False,mode_only,-0.04729569901898646,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_00,0.0,0.015,0.1,0.06,0.5359375000000001,0.32156250000000003,3,0.2622151692708335,1.9884478282536014e-05,3.479783699443802e-06,,,,0.055101346439559766,5.965760595733902e-26,-5.035695924742528,False,True,False,mode_only,-0.04726481715630455,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_02,0.1,0.04,0.015,0.015,0.08039062500000001,0.08039062500000001,3,0.26031021118164055,1.9945799933539496e-05,3.4905149883694114e-06,,,,0.05535156185516063,2.9996435921028974e-26,-5.035747461712139,False,True,False,mode_only,-0.04725236770717551,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_00,0.0,0.015,0.1,0.015,0.5359375000000001,0.08039062500000001,3,0.2611897786458334,2.8392540448977612e-05,4.9686945785710815e-06,,,,0.0566359309851717,5.834415255014603e-27,-5.037491402569857,False,True,False,mode_only,-0.047196595991190395,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_02,0.1,0.04,0.015,0.06,0.08039062500000001,0.32156250000000003,3,0.26051956176757807,5.780578726309317e-05,1.0116012771041304e-05,,,,0.057461103554190956,2.2696808472949818e-20,-5.0421085130425904,False,True,False,mode_only,-0.04718475060955355,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_02,0.1,0.04,0.015,0.03,0.08039062500000001,0.16078125000000001,3,0.2604148864746093,3.2565795710057405e-05,5.699014249260045e-06,,,,0.05712872980009317,1.9452807488562146e-20,-5.038215861344138,False,True,False,mode_only,-0.0471761293057054,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_00,0.0,0.015,0.03,0.03,0.16078125000000001,0.16078125000000001,3,0.2408055114746094,2.864121004583415e-05,5.012211758020976e-06,,,,0.060636421875812835,3.6002532098184755e-20,-5.037220997226321,False,True,False,mode_only,-0.046996820116255195,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_00,0.0,0.015,0.03,0.06,0.16078125000000001,0.32156250000000003,3,0.2410148620605469,5.388120159886991e-05,9.429210279802233e-06,,,,0.06132895037775551,1.3573065004585828e-23,-5.040779203721819,False,True,False,mode_only,-0.0469874336827111,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_01,0.05,0.025,0.015,0.015,0.08039062500000001,0.08039062500000001,3,0.10193603515625001,9.09186770592207e-06,1.591076848536362e-06,,,,0.0609866054738607,7.099748146989106e-28,-5.0281765231690905,False,True,False,mode_only,-0.04695976159401289,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_01,0.05,0.025,0.015,0.06,0.08039062500000001,0.32156250000000003,3,0.19528882344563797,5.545103586455922e-05,9.703931276297863e-06,,,,0.07057541987245797,5.2341759280557333e-20,-5.0401949233232015,False,True,False,mode_only,-0.04652668004224166,max_ci_fallback,1200.0
0.175,1.8,,,False,False,False,generic_01,0.05,0.025,0.015,0.03,0.08039062500000001,0.16078125000000001,3,0.19494926452636716,3.0211044311523437e-05,5.286932754516601e-06,,,,0.07025971215556909,2.0518272144798517e-27,-5.0377304531953975,False,True,False,mode_only,-0.04651722543653307,max_ci_fallback,1200.0
