point_id,Mach,eta,alpha,ci_seed,ci_final,ci_blumen,pinn_blumen_abs,gep_blumen_abs,pinn_blumen_rel,gep_blumen_rel,inside_blumen_support
P002_M0700_eta0972,0.7,0.9725,0.6945039146757922,0.0132738441996698,0.0129495069431595,0.009464525381615707,0.0038093188180540923,0.003484981561543792,0.4024838715582583,0.3682151424426593,True
P003_M0770_eta0025,0.77,0.025,0.0159510971409492,0.6167729183444536,0.6168381388519463,0.11792568133861286,0.4988472370058407,0.4989124575133334,4.230183208129587,4.230736272625398,True
P004_M0770_eta0040,0.77,0.04,0.0255217554255188,0.6023935718836329,0.6027707455846446,0.11731964378476409,0.48507392809886873,0.4854511017998805,4.134635193649162,4.137850117329835,True
P005_M0770_eta0055,0.77,0.055,0.0350924137100884,0.5886181881148917,0.5890072720490892,0.11678435115131264,0.4718338369635791,0.47222292089777657,4.040214569092768,4.043546213532813,True
P003_M0775_eta0059,0.7749999999999999,0.05875,0.0371277224380583,0.5827776057737872,0.5827729475858748,0.11480731227015997,0.4679702935036273,0.4679656353157149,4.076136652362511,4.07609607839714,True
P004_M0775_eta0085,0.7749999999999999,0.0849999999999999,0.0537167048039992,0.5593000040344771,0.559593067129035,0.11401078389740235,0.4452892201370747,0.4455822832316326,3.9056763309143454,3.9082468166573574,True
P005_M0775_eta0111,0.7749999999999999,0.11125,0.0703056871699402,0.5368439567027048,0.5371402053985351,0.1137572504632218,0.42308670623948297,0.4233829549353133,3.7192065078635905,3.7218107260090187,True
P003_M0775_eta0136,0.7749999999999999,0.1362499999999999,0.0861047179946459,0.5168279234451298,0.5161394655767371,0.11302503150328332,0.40380289194184654,0.40311443407345376,3.5726855066624448,3.566594308462931,True
P004_M0775_eta0185,0.7749999999999999,0.185,0.116912828102822,0.4770664355557935,0.4772507959745402,0.11203208771888842,0.365034347836905,0.3652187082556517,3.2583017532695755,3.2599473569756254,True
P005_M0775_eta0234,0.7749999999999999,0.23375,0.147720938210998,0.4400287132215273,0.4402445134880182,0.1098594710021633,0.330169242219364,0.3303850424858549,3.005378045310836,3.0073423754184025,True
P003_M0775_eta0269,0.7749999999999999,0.26875,0.169839581365586,0.4149019731750048,0.4147093757271937,0.10817607269207102,0.3067259004829338,0.30653330303512266,2.835432021608378,2.8336516145089323,True
P004_M0775_eta0325,0.7749999999999999,0.325,0.2053874007211737,0.3752649908295084,0.3752838245404204,0.10538953111238356,0.2698754597171249,0.26989429342803684,2.5607425791594,2.560921284868716,True
P003_M0775_eta0375,0.7749999999999999,0.375,0.2369854623705851,0.3420739047076498,0.3417359410481054,0.10254871222647485,0.23952519248117496,0.23918722882163054,2.335721115172981,2.3324254749625215,True
P005_M0775_eta0381,0.7749999999999999,0.38125,0.2409352200767615,0.336966653359587,0.3376335594985811,0.10213838496016127,0.23482826839942572,0.23549517453841984,2.2991186760101963,2.3056481129036253,True
P004_M0775_eta0450,0.7749999999999999,0.45,0.2843825548447021,0.293745215963635,0.2937324962529672,0.09661193752047764,0.19713327844315737,0.19712055873248957,2.040465013977941,2.040333356224311,True
P005_M0775_eta0525,0.7749999999999999,0.525,0.3317796473188192,0.2473138515272748,0.248165560968524,0.08924264260319838,0.15807120892407645,0.15892291836532563,1.7712519969507414,1.7807957466247193,True
P003_M0775_eta0562,0.7749999999999999,0.5625,0.3554781935558777,0.2261997416995764,0.2261955169154654,0.08365239104083955,0.14254735065873686,0.14254312587462586,1.704043947639757,1.7039934435948823,True
P004_M0775_eta0600,0.7749999999999999,0.6000000000000001,0.3791767397929362,0.2046809305520423,0.2047227870202804,0.07717251367314121,0.1275084168789011,0.1275502733471392,1.652251699600639,1.6527940749392909,True
P005_M0775_eta0638,0.7749999999999999,0.6375000000000001,0.4028752860299948,0.1832927337324637,0.1837178250515541,0.07195055354216114,0.11134218019030255,0.11176727150939296,1.5474819123533075,1.5533900158794507,True
P003_M0775_eta0669,0.7749999999999999,0.6687500000000001,0.4226240745608768,0.166684271411683,0.1665515349138218,0.06720373265048336,0.09948053876119962,0.09934780226333843,1.4802829372377742,1.4783078014435835,True
P004_M0775_eta0725,0.7749999999999999,0.7250000000000001,0.4581718939164647,0.1364321269780207,0.136378064393806,0.058786896377736694,0.07764523060028401,0.07759116801606931,1.3207914583782858,1.3198718217322667,True
P005_M0775_eta0781,0.7749999999999999,0.78125,0.4937197132720524,0.1064550967471069,0.1070718555182488,0.05,0.0564550967471069,0.057071855518248796,1.1291019349421378,1.1414371103649759,True
P003_M0775_eta0815,0.7749999999999999,0.8150000000000001,0.515048404885405,0.0899011185367718,0.0898738018136694,0.043296417294431906,0.04660470124233989,0.04657738451923749,1.0764101086103826,1.075779185203565,True
P004_M0775_eta0860,0.7749999999999999,0.8600000000000001,0.5434866603698754,0.0675595739544217,0.0673607767022699,0.03493112811538955,0.032628445839032155,0.032429648586880355,0.9340793612862761,0.928388240991074,True
P005_M0775_eta0905,0.7749999999999999,0.905,0.5719249158543455,0.0445652514653834,0.0452791072123796,0.024456553943215765,0.020108697522167634,0.020822553269163834,0.8222212159921155,0.8514099458783317,True
P003_M0775_eta0928,0.7749999999999999,0.9275,0.5861440435965806,0.0343482273304775,0.0343993438974487,0.019122070686294793,0.015226156644182708,0.015277273211153904,0.7962608701732092,0.7989340412857829,True
P004_M0775_eta0950,0.7749999999999999,0.95,0.6003631713388157,0.0238428173516787,0.0235210641213681,0.013319911843769272,0.010522905507909427,0.010201152277598829,0.7900131495864054,0.7658573417939457,True
P005_M0775_eta0972,0.7749999999999999,0.9725,0.6145822990810508,0.0123264118969693,0.0117600677871118,0.007962290165849154,0.004364121731120146,0.003797777621262646,0.5480988057730153,0.47697051252309197,True
P000_M0840_eta0025,0.84,0.025,0.0135646599662505,0.5740318810691976,0.5739746364758613,0.0877305743804811,0.48630130668871646,0.48624406209538024,5.543122339307425,5.542469834821499,True
P001_M0840_eta0040,0.84,0.04,0.0217034559460008,0.5608456195559546,0.5614637536472208,0.08771461595699137,0.4731310035989632,0.4737491376902294,5.39398136145236,5.401028466253791,True
P002_M0840_eta0055,0.84,0.055,0.0298422519257511,0.5492599361130089,0.5492910494581416,0.08769865753350166,0.4615612785795073,0.4615923919246399,5.263036990083763,5.263391765698438,True
P006_M0850_eta0059,0.85,0.05875,0.0309484828990049,0.5405468477073703,0.5407642516428142,0.08254455762851466,0.4580022900788556,0.4582196940142995,5.5485461820518704,5.551179958786398,True
P007_M0850_eta0085,0.85,0.0849999999999999,0.0447765284496241,0.520234727742823,0.5204510587872406,0.08126573766919767,0.43896899007362533,0.439185321118043,5.401648993337185,5.404311013650077,True
