split,Mach,s,alpha_neutral,alpha,distance_to_neutral,chart_s_low,chart_s_bulk,chart_s_neutral,chart_M_sonic,chart_M_mid,chart_M_high
train,2.0,0.1,0.2085619792295213,0.02085619792295213,0.9,True,False,False,False,False,True
train,2.0,0.2,0.2085619792295213,0.04171239584590426,0.8,False,True,False,False,False,True
train,2.0,0.35,0.2085619792295213,0.07299669273033245,0.65,False,True,False,False,False,True
train,2.0,0.5,0.2085619792295213,0.10428098961476065,0.5,False,True,False,False,False,True
train,2.0,0.65,0.2085619792295213,0.13556528649918884,0.35,False,True,False,False,False,True
train,2.0,0.78,0.2085619792295213,0.16267834379902663,0.21999999999999997,False,True,False,False,False,True
train,2.0,0.87,0.2085619792295213,0.18144892192968354,0.13,False,True,True,False,False,True
train,2.0,0.93,0.2085619792295213,0.1939626406834548,0.06999999999999995,False,False,True,False,False,True
train,2.0,0.97,0.2085619792295213,0.20230511985263566,0.030000000000000027,False,False,True,False,False,True
train,2.0,0.985,0.2085619792295213,0.20543354954107848,0.015000000000000013,False,False,True,False,False,True
